match,competition,date,position,minutes_played,total_actions,total_actions_successful,total _actions_percent,goals,assists,shots,shots_on_target,shots_percents,xG,passes,passes_accurate,passes_percent,long_passes,long_passes_accurate,long_passes_percent,crosses,crosses_accurate,crosses_percent,dribbles,dribbles_successful,dribbles_percent,duels,duels_won,duels_percent,aerial_duels,aerial_duels_won,aerial_duels_percent,interceptions,losses,losses_own_half,losses_percent,recoveries,recoveries_opp_half,recoveries_percent
Deportivo Alavés - Real Madrid 1:0,Spain. LaLiga,10/6/18,"LCMF3, LWF",96,94,65,69,0,0,1,1,100,0.1,63,57,90,1,0,0,1,1,100,3,0,0,14,5,36,1,0,0,2,11,3,27,5,4,80
CSKA Moskva - Real Madrid 1:0,Europe. UEFA Champions League,10/2/18,"LAMF, LCMF3, RCMF3",100,99,79,80,0,0,3,1,33,0.3,75,72,96,1,1,100,3,2,67,9,3,33,17,6,35,0,0,0,2,6,0,0,6,5,83
Real Madrid - Atlético Madrid 0:0,Spain. LaLiga,9/29/18,LWF,48,68,50,74,0,0,0,0,0,0,44,43,98,1,1,100,0,0,0,8,3,38,17,6,35,0,0,0,2,7,0,0,3,1,33
Sevilla - Real Madrid 3:0,Spain. LaLiga,9/26/18,RCMF,25,33,27,82,0,0,0,0,0,0,21,20,95,2,2,100,1,0,0,0,0,0,9,5,56,0,0,0,0,3,0,0,2,1,50
Real Madrid - Espanyol 1:0,Spain. LaLiga,9/22/18,LCMF3,65,81,63,78,0,0,0,0,0,0,54,52,96,1,1,100,0,0,0,2,1,50,23,11,48,0,0,0,2,4,1,25,12,9,75
Real Madrid - Roma 3:0,Europe. UEFA Champions League,9/19/18,RCMF3,8,11,8,73,0,0,1,1,100,0.02,7,7,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Athletic Club - Real Madrid 1:1,Spain. LaLiga,9/15/18,LCMF,45,43,29,67,0,0,0,0,0,0,28,25,89,0,0,0,0,0,0,2,2,100,6,4,67,0,0,0,0,3,1,33,2,1,50
Real Madrid - Leganés 4:1,Spain. LaLiga,9/1/18,RCMF3,17,35,30,86,0,0,0,0,0,0,26,26,100,2,2,100,0,0,0,2,0,0,7,3,43,0,0,0,0,0,0,0,2,1,50
Real Madrid - Getafe 2:0,Spain. LaLiga,8/19/18,RCMF3,71,85,64,75,0,0,0,0,0,0,58,56,97,0,0,0,0,0,0,1,0,0,18,5,28,4,0,0,2,5,1,20,3,1,33
Sevilla - Real Madrid 3:2,Spain. LaLiga,5/9/18,LCMF3,71,76,62,82,0,0,0,0,0,0,56,53,95,0,0,0,0,0,0,1,1,100,15,6,40,0,0,0,0,7,0,0,3,3,100
Real Madrid - Leganés 2:1,Spain. LaLiga,4/28/18,"AMF, LW",93,111,80,72,0,0,2,1,50,0.12,68,62,91,3,3,100,1,0,0,10,5,50,31,14,45,0,0,0,3,9,2,22,3,1,33
Málaga - Real Madrid 1:2,Spain. LaLiga,4/15/18,LW,28,27,22,81,0,0,0,0,0,0,22,20,91,1,1,100,2,1,50,1,1,100,3,2,67,1,0,0,3,3,2,67,2,1,50
Espanyol - Real Madrid 1:0,Spain. LaLiga,2/27/18,LCMF,13,5,4,80,0,0,0,0,0,0,4,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100
Real Madrid - Deportivo Alavés 4:0,Spain. LaLiga,2/24/18,LCMF,19,29,26,90,0,0,0,0,0,0,24,24,100,1,1,100,0,0,0,2,1,50,4,2,50,0,0,0,1,1,0,0,0,0,0
Real Madrid - Sevilla 5:0,Spain. LaLiga,12/9/17,LDMF,22,43,38,88,0,0,0,0,0,0,36,36,100,0,0,0,0,0,0,0,0,0,5,2,40,0,0,0,0,2,0,0,1,0,0
Real Madrid - Borussia Dortmund 3:2,Europe. UEFA Champions League,12/6/17,"LCMF, LCMF3",36,67,53,79,0,0,2,0,0,0.35,47,46,98,1,1,100,0,0,0,4,3,75,16,7,44,0,0,0,2,4,1,25,4,3,75
APOEL - Real Madrid 0:6,Europe. UEFA Champions League,11/21/17,LCMF,35,54,44,81,0,0,1,0,0,0.22,44,40,91,1,0,0,0,0,0,0,0,0,5,2,40,0,0,0,2,4,1,25,4,1,25
Real Madrid - Las Palmas 3:0,Spain. LaLiga,11/5/17,LCMF,16,21,15,71,0,0,0,0,0,0,11,11,100,1,1,100,1,1,100,2,0,0,9,4,44,0,0,0,0,3,2,67,3,2,67
Real Madrid - Eibar 3:0,Spain. LaLiga,10/22/17,LCMF3,70,96,73,76,0,0,1,0,0,0.01,65,59,91,3,2,67,0,0,0,2,2,100,19,14,74,1,1,100,4,5,2,40,7,3,43
Real Madrid - Espanyol 2:0,Spain. LaLiga,10/1/17,LCMF,10,15,11,73,0,0,0,0,0,0,9,9,100,0,0,0,0,0,0,2,1,50,5,2,40,0,0,0,0,1,0,0,0,0,0
Borussia Dortmund - Real Madrid 1:3,Europe. UEFA Champions League,9/26/17,LCMF,2,4,2,50,0,0,0,0,0,0,3,2,67,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Deportivo Alavés - Real Madrid 1:2,Spain. LaLiga,9/23/17,"LDMF, RCMF3",73,82,61,74,2,0,3,3,100,0.41,52,47,90,1,0,0,2,1,50,6,2,33,23,11,48,0,0,0,2,10,2,20,7,3,43
Real Sociedad - Real Madrid 1:3,Spain. LaLiga,9/17/17,AMF,10,8,6,75,0,0,0,0,0,0,6,5,83,0,0,0,0,0,0,0,0,0,2,1,50,0,0,0,0,1,0,0,1,0,0
Real Madrid - APOEL 3:0,Europe. UEFA Champions League,9/13/17,AMF,22,27,23,85,0,0,0,0,0,0,23,21,91,1,1,100,1,0,0,1,1,100,4,2,50,0,0,0,0,3,0,0,0,0,0
